genome,species,SGB,species_name,Quality_score,Genome_quality,VMGC_representative,genome_is_VMGC_representative,representative,genome_is_representative
MG369.mbin.1,240891,SGB001,Lactobacillus iners,99.75,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
SRR16471034.mbin.4,240891,SGB001,Lactobacillus iners,99.75,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
GCF_019459585.1,223646,SGB089,Lactobacillus paragasseri,99.74,near-complete,GCF_019459585.1,1,GCF_019459585.1,1
GCF_000759265.1,502327,SGB061,Prevotella sp000479005,99.74,near-complete,GCF_000759265.1,1,GCF_000759265.1,1
MG37.mbin.1,240891,SGB001,Lactobacillus iners,99.74,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
GCF_000762865.1,560284,SGB100,Prevotella sp001553265,99.73,near-complete,GCF_000762865.1,1,GCF_000762865.1,1
GCF_000179955.1,240891,SGB001,Lactobacillus iners,99.73,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
SRR13694753.mbin.1,240891,SGB001,Lactobacillus iners,99.73,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
P10709168.mbin.7,900875,SGB025,Prevotella bivia,99.73,near-complete,MG238.mbin.3,0,MG238.mbin.3,0
P10709200.mbin.1,240891,SGB001,Lactobacillus iners,99.72,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
MG836.mbin.11,719869,SGB013,Prevotella_unknown,99.71,near-complete,MG836.mbin.11,1,MG836.mbin.11,1
GCF_000179995.1,240891,SGB001,Lactobacillus iners,99.71,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
SRR17284179.sbin.1,240891,SGB001,Lactobacillus iners,99.71,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
MG1354.sbin.14,738524,SGB066,Arcanobacterium_A sp000758825,99.71,near-complete,P10708891.mbin.16,0,P10708891.mbin.16,0
GCF_001398875.1,861111,SGB033,Streptococcus agalactiae,99.7,near-complete,GCF_001398875.1,1,GCF_001398875.1,1
GCF_002041755.1,395018,SGB399,Salmonella enterica,99.7,near-complete,GCF_002041755.1,1,GCF_002041755.1,1
GCF_900604515.1,455567,SGB537,Arcanobacterium_A ihumii,99.7,near-complete,GCF_900604515.1,1,GCF_900604515.1,1
GCF_019459625.1,432849,SGB158,Lactobacillus johnsonii,99.7,near-complete,GCF_025191005.1,0,GCF_025191005.1,0
GCF_900636895.1,223646,SGB064,Lactobacillus paragasseri,99.69,near-complete,GCF_900636895.1,1,GCF_019459585.1,0
GCF_000179735.1,638728,SGB250,Veillonella atypica,99.69,near-complete,GCF_000179735.1,1,GCF_000179735.1,1
GCF_002742395.2,669298,SGB514,Macrococcus_B caseolyticus,99.69,near-complete,GCF_002742395.2,1,GCF_002742395.2,1
MG330.mbin.12,240891,SGB001,Lactobacillus iners,99.69,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
MG467.mbin.1,240891,SGB001,Lactobacillus iners,99.69,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
GCF_000262545.1,900875,SGB025,Prevotella bivia,99.69,near-complete,MG238.mbin.3,0,MG238.mbin.3,0
GCF_003186745.1,861111,SGB033,Streptococcus agalactiae,99.69,near-complete,GCF_001398875.1,0,GCF_001398875.1,0
GCF_001020185.2,303548,SGB156,Streptococcus pyogenes,99.69,near-complete,GCF_009738475.1,0,GCF_009738475.1,0
MG214.mbin.27,719869,SGB035,Prevotella_unknown,99.68,near-complete,MG214.mbin.27,1,MG836.mbin.11,0
GCF_000759305.1,681331,SGB075,Prevotella melaninogenica,99.68,near-complete,GCF_000759305.1,1,GCF_000759305.1,1
MG234.mbin.6,240891,SGB001,Lactobacillus iners,99.68,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
GCF_000159635.1,460552,SGB474,Corynebacterium lipophiloflavum,99.67,near-complete,GCF_000159635.1,1,GCF_000159635.1,1
SRR13167693.mbin.6,240891,SGB001,Lactobacillus iners,99.67,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
GCF_000162255.1,988598,SGB006,Lactobacillus crispatus,99.66,near-complete,GCF_000162255.1,1,GCF_000162255.1,1
P10708985.mbin.1,941235,SGB014,Prevotella timonensis_A,99.66,near-complete,P10708985.mbin.1,1,P10708985.mbin.1,1
MG1038.mbin.15,697687,SGB045,Gemella asaccharolytica,99.66,near-complete,MG1038.mbin.15,1,MG1038.mbin.15,1
GCF_000163435.1,443661,SGB305,Corynebacterium jeikeium,99.66,near-complete,GCF_000163435.1,1,GCF_000163435.1,1
MG511.mbin.2,240891,SGB001,Lactobacillus iners,99.66,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
MG656.sbin.17,900875,SGB025,Prevotella bivia,99.66,near-complete,MG238.mbin.3,0,MG238.mbin.3,0
P10708861.mbin.4,719869,SGB013,Prevotella_unknown,99.66,near-complete,MG836.mbin.11,0,MG836.mbin.11,0
ERR10897925.mbin.61,936138,SGB321,Cryptobacteroides_unknown,99.65,near-complete,ERR10897925.mbin.61,1,ERR10897925.mbin.61,1
GCF_001546285.1,351273,SGB501,Citrobacter freundii,99.65,near-complete,GCF_001546285.1,1,GCF_001546285.1,1
GCF_003055835.1,846178,SGB515,Trueperella pyogenes,99.65,near-complete,GCF_003055835.1,1,GCF_003055835.1,1
MG399.mbin.4,240891,SGB001,Lactobacillus iners,99.65,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
GCF_000759245.1,900875,SGB025,Prevotella bivia,99.65,near-complete,MG238.mbin.3,0,MG238.mbin.3,0
GCF_000159655.1,129724,SGB060,Enterococcus faecalis,99.65,near-complete,GCF_000148305.1,0,GCF_000148305.1,0
P10710053.mbin.2,719869,SGB013,Prevotella_unknown,99.65,near-complete,MG836.mbin.11,0,MG836.mbin.11,0
GCF_023337115.1,264590,SGB400,Klebsiella quasipneumoniae,99.65,near-complete,GCF_900509245.1,0,GCF_900509245.1,0
GCF_001485065.1,701235,SGB499,Acinetobacter schindleri,99.64,near-complete,GCF_001485065.1,1,GCF_001485065.1,1
MG489.mbin.1,240891,SGB001,Lactobacillus iners,99.64,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
MG513.mbin.11,240891,SGB001,Lactobacillus iners,99.64,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
SRR17284238.mbin.1,240891,SGB001,Lactobacillus iners,99.64,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
GCF_027155795.1,571325,SGB018,Lactobacillus jensenii,99.63,near-complete,GCF_027155795.1,1,GCF_027155795.1,1
ERR2238775.mbin.2,240891,SGB001,Lactobacillus iners,99.63,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
MG343.mbin.8,900875,SGB025,Prevotella bivia,99.63,near-complete,MG238.mbin.3,0,MG238.mbin.3,0
GCF_027155925.1,571325,SGB018,Lactobacillus jensenii,99.63,near-complete,GCF_027155795.1,0,GCF_027155795.1,0
MG352.mbin.2,382359,SGB022,Prevotella sp000758925,99.63,near-complete,MG160.sbin.15,0,MG160.sbin.15,0
GCF_011058795.1,240891,SGB001,Lactobacillus iners,99.62,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
MG600.mbin.29,382359,SGB022,Prevotella sp000758925,99.62,near-complete,MG160.sbin.15,0,MG160.sbin.15,0
MG239.mbin.1,240891,SGB001,Lactobacillus iners,99.61,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
P10709496.mbin.7,240891,SGB001,Lactobacillus iners,99.61,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
GCF_027155805.1,571325,SGB018,Lactobacillus jensenii,99.61,near-complete,GCF_027155795.1,0,GCF_027155795.1,0
GCF_027155905.1,571325,SGB018,Lactobacillus jensenii,99.61,near-complete,GCF_027155795.1,0,GCF_027155795.1,0
GCF_000758825.1,738524,SGB066,Arcanobacterium_A sp000758825,99.61,near-complete,P10708891.mbin.16,0,P10708891.mbin.16,0
GCF_000759055.1,928247,SGB123,Corynebacterium tuscaniense,99.6,near-complete,GCF_000759055.1,1,GCF_000759055.1,1
MG277.mbin.3,240891,SGB001,Lactobacillus iners,99.6,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
P10709641.mbin.3,240891,SGB001,Lactobacillus iners,99.6,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
P10709798.sbin.12,240891,SGB001,Lactobacillus iners,99.6,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
GCF_027155915.1,571325,SGB018,Lactobacillus jensenii,99.6,near-complete,GCF_027155795.1,0,GCF_027155795.1,0
GCF_027155885.1,571325,SGB018,Lactobacillus jensenii,99.6,near-complete,GCF_027155795.1,0,GCF_027155795.1,0
GCF_003640705.1,861111,SGB033,Streptococcus agalactiae,99.6,near-complete,GCF_001398875.1,0,GCF_001398875.1,0
GCF_005233935.1,861111,SGB033,Streptococcus agalactiae,99.6,near-complete,GCF_001398875.1,0,GCF_001398875.1,0
GCF_014338575.1,861111,SGB033,Streptococcus agalactiae,99.6,near-complete,GCF_001398875.1,0,GCF_001398875.1,0
GCF_021496965.1,861111,SGB033,Streptococcus agalactiae,99.6,near-complete,GCF_001398875.1,0,GCF_001398875.1,0
GCF_000369445.1,660248,SGB492,Acinetobacter pseudolwoffii,99.59,near-complete,GCF_000369445.1,1,GCF_000369445.1,1
MG11.mbin.3,240891,SGB001,Lactobacillus iners,99.59,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
MG290.mbin.3,240891,SGB001,Lactobacillus iners,99.59,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
P10709397.mbin.1,240891,SGB001,Lactobacillus iners,99.59,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
P10709493.mbin.1,240891,SGB001,Lactobacillus iners,99.59,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
SRR12830918.sbin.6,240891,SGB001,Lactobacillus iners,99.59,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
GCF_027155725.1,571325,SGB018,Lactobacillus jensenii,99.59,near-complete,GCF_027155795.1,0,GCF_027155795.1,0
GCF_000159355.1,432849,SGB158,Lactobacillus johnsonii,99.59,near-complete,GCF_025191005.1,0,GCF_025191005.1,0
GCF_009496665.1,861111,SGB033,Streptococcus agalactiae,99.59,near-complete,GCF_001398875.1,0,GCF_001398875.1,0
GCF_000159335.1,499721,SGB040,Lactobacillus mulieris,99.58,near-complete,GCF_000159335.1,1,GCF_000159335.1,1
MG1065.mbin.12,697687,SGB045,Gemella asaccharolytica,99.58,near-complete,MG1038.mbin.15,0,MG1038.mbin.15,0
MG560.mbin.7,240891,SGB001,Lactobacillus iners,99.57,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
P10709696.mbin.2,240891,SGB001,Lactobacillus iners,99.57,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
SRR17284316.mbin.1,240891,SGB001,Lactobacillus iners,99.57,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
GCF_000162435.1,499721,SGB040,Lactobacillus mulieris,99.57,near-complete,GCF_000159335.1,0,GCF_000159335.1,0
MG391.sbin.19,240891,SGB001,Lactobacillus iners,99.56,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
P10709427.mbin.2,240891,SGB001,Lactobacillus iners,99.56,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
P10709431.mbin.1,240891,SGB001,Lactobacillus iners,99.56,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
GCF_027155585.1,571325,SGB018,Lactobacillus jensenii,99.56,near-complete,GCF_027155795.1,0,GCF_027155795.1,0
GCF_019537355.1,988598,SGB039,Lactobacillus crispatus,99.55,near-complete,GCF_019537355.1,1,GCF_000162255.1,0
ERR4421571.mbin.1,240891,SGB001,Lactobacillus iners,99.55,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
MG260.sbin.16,240891,SGB001,Lactobacillus iners,99.55,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
SRR17284207.mbin.1,240891,SGB001,Lactobacillus iners,99.55,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
MG1129.mbin.2,941235,SGB014,Prevotella timonensis_A,99.55,near-complete,P10708985.mbin.1,0,P10708985.mbin.1,0
GCF_001399375.1,861111,SGB033,Streptococcus agalactiae,99.55,near-complete,GCF_001398875.1,0,GCF_001398875.1,0
GCF_003640715.1,861111,SGB033,Streptococcus agalactiae,99.55,near-complete,GCF_001398875.1,0,GCF_001398875.1,0
GCF_021496885.1,861111,SGB033,Streptococcus agalactiae,99.55,near-complete,GCF_001398875.1,0,GCF_001398875.1,0
GCF_009771805.1,861111,SGB033,Streptococcus agalactiae,99.55,near-complete,GCF_001398875.1,0,GCF_001398875.1,0
GCF_023149175.1,861111,SGB033,Streptococcus agalactiae,99.55,near-complete,GCF_001398875.1,0,GCF_001398875.1,0
GCF_022586275.1,861111,SGB033,Streptococcus agalactiae,99.55,near-complete,GCF_001398875.1,0,GCF_001398875.1,0
GCF_001546875.1,353147,SGB371,Cutibacterium avidum,99.54,near-complete,GCF_001546875.1,1,GCF_001546875.1,1
SRR12830929.mbin.15,240891,SGB001,Lactobacillus iners,99.54,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
P10709792.mbin.7,240891,SGB001,Lactobacillus iners,99.54,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
SRR5575608.mbin.1,240891,SGB001,Lactobacillus iners,99.54,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
GCF_027160725.1,571325,SGB018,Lactobacillus jensenii,99.54,near-complete,GCF_027155795.1,0,GCF_027155795.1,0
GCF_006543505.1,861111,SGB033,Streptococcus agalactiae,99.54,near-complete,GCF_001398875.1,0,GCF_001398875.1,0
GCF_009771825.1,861111,SGB033,Streptococcus agalactiae,99.54,near-complete,GCF_001398875.1,0,GCF_001398875.1,0
GCF_009771375.1,861111,SGB033,Streptococcus agalactiae,99.54,near-complete,GCF_001398875.1,0,GCF_001398875.1,0
ERR10898293.mbin.1,907952,SGB468,Corynebacterium simulans,99.53,near-complete,ERR10898293.mbin.1,1,ERR10898293.mbin.1,1
GCF_011058695.1,240891,SGB001,Lactobacillus iners,99.53,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
GCF_027155785.1,571325,SGB018,Lactobacillus jensenii,99.53,near-complete,GCF_027155795.1,0,GCF_027155795.1,0
GCF_000161895.2,499721,SGB040,Lactobacillus mulieris,99.53,near-complete,GCF_000159335.1,0,GCF_000159335.1,0
GCF_000191685.2,240891,SGB001,Lactobacillus iners,99.52,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
GCF_027155965.1,571325,SGB018,Lactobacillus jensenii,99.52,near-complete,GCF_027155795.1,0,GCF_027155795.1,0
GCF_000758905.1,220693,SGB296,S5-A14a sp000758905,99.51,near-complete,GCF_000758905.1,1,GCF_000758905.1,1
SAMN00099934.mbin.1,240891,SGB001,Lactobacillus iners,99.51,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
GCF_019459565.1,240891,SGB001,Lactobacillus iners,99.51,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
P10710408.mbin.9,900875,SGB025,Prevotella bivia,99.51,near-complete,MG238.mbin.3,0,MG238.mbin.3,0
GCF_009807535.1,317699,SGB397,Pseudomonas aeruginosa,99.5,near-complete,GCF_009807535.1,1,GCF_009807535.1,1
SRR16471003.mbin.2,240891,SGB001,Lactobacillus iners,99.5,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
GCF_026014055.1,166172,SGB118,Escherichia coli,99.5,near-complete,GCF_013347005.1,0,GCF_013347005.1,0
GCF_000314715.2,679715,SGB094,Staphylococcus epidermidis,99.5,near-complete,GCF_001809495.1,0,GCF_001809495.1,0
GCF_027160745.1,571325,SGB018,Lactobacillus jensenii,99.49,near-complete,GCF_027155795.1,0,GCF_027155795.1,0
GCF_001656575.1,721998,SGB172,Lacticaseibacillus rhamnosus,99.48,near-complete,GCF_001656575.1,1,GCF_001656575.1,1
GCF_011058775.1,240891,SGB001,Lactobacillus iners,99.48,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
GCF_003591635.1,303548,SGB156,Streptococcus pyogenes,99.48,near-complete,GCF_009738475.1,0,GCF_009738475.1,0
GCF_003609775.1,806900,SGB516,Prevotella melaninogenica_A,99.47,near-complete,GCF_003609775.1,1,GCF_003609775.1,1
MG677.mbin.1,240891,SGB001,Lactobacillus iners,99.47,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
GCF_011058755.1,240891,SGB001,Lactobacillus iners,99.47,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
GCF_027153815.1,988598,SGB006,Lactobacillus crispatus,99.47,near-complete,GCF_000162255.1,0,GCF_000162255.1,0
GCF_027153945.1,988598,SGB006,Lactobacillus crispatus,99.47,near-complete,GCF_000162255.1,0,GCF_000162255.1,0
SRR10258545.mbin.10,900875,SGB025,Prevotella bivia,99.47,near-complete,MG238.mbin.3,0,MG238.mbin.3,0
GCF_009857205.1,240891,SGB001,Lactobacillus iners,99.46,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
GCF_027153645.1,988598,SGB006,Lactobacillus crispatus,99.46,near-complete,GCF_000162255.1,0,GCF_000162255.1,0
ERR10897892.mbin.4,941235,SGB014,Prevotella timonensis_A,99.46,near-complete,P10708985.mbin.1,0,P10708985.mbin.1,0
GCF_000162335.1,571325,SGB018,Lactobacillus jensenii,99.46,near-complete,GCF_027155795.1,0,GCF_027155795.1,0
GCF_000759185.1,502327,SGB061,Prevotella sp000479005,99.46,near-complete,GCF_000759265.1,0,GCF_000759265.1,0
MG1206.mbin.20,498055,SGB007,Prevotella amnii,99.45,near-complete,MG1206.mbin.20,1,MG1206.mbin.20,1
MG691.mbin.15,719869,SGB054,Prevotella_unknown,99.45,near-complete,MG691.mbin.15,1,MG836.mbin.11,0
GCF_001552965.1,541464,SGB202,Corynebacterium phoceense,99.45,near-complete,GCF_001552965.1,1,GCF_001552965.1,1
ERR4421550.mbin.1,240891,SGB001,Lactobacillus iners,99.45,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
MG470.mbin.2,240891,SGB001,Lactobacillus iners,99.45,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
GCF_002289205.1,861111,SGB033,Streptococcus agalactiae,99.45,near-complete,GCF_001398875.1,0,GCF_001398875.1,0
GCF_000183605.2,620611,SGB410,Porphyromonas asaccharolytica,99.44,near-complete,GCF_000183605.2,1,GCF_000183605.2,1
P10709480.mbin.10,240891,SGB001,Lactobacillus iners,99.44,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
GCF_018094625.1,571325,SGB018,Lactobacillus jensenii,99.44,near-complete,GCF_027155795.1,0,GCF_027155795.1,0
GCF_027153865.1,499721,SGB072,Lactobacillus mulieris,99.43,near-complete,GCF_027153865.1,1,GCF_000159335.1,0
MG177.mbin.2,240891,SGB001,Lactobacillus iners,99.43,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
GCF_027156005.1,499721,SGB072,Lactobacillus mulieris,99.43,near-complete,GCF_027153865.1,0,GCF_000159335.1,0
GCF_027153895.1,499721,SGB072,Lactobacillus mulieris,99.43,near-complete,GCF_027153865.1,0,GCF_000159335.1,0
