Assembly Accession	CheckM contamination	CheckM completeness	Assembly Stats Total Sequence Length
GCF_000313595.1	0.39	98.83	2876680
GCF_000536675.1	0.39	98.78	2911459
GCF_000171455.1	0.39	97.29	2775621
GCF_000525125.1	0.62	97.92	2874512
GCF_000525145.1	0.39	98.87	2907565
GCF_000525165.1	0.39	98.45	2880963
GCF_000525185.1	0.78	98.78	2900388
GCF_000525245.1	1.27	98.84	2863244
GCF_000525205.1	0.39	98.87	2730435
GCF_000525225.1	1.27	98.87	2802056
GCF_000525565.1	0.56	98.6	2944524
GCF_000525545.1	0.47	98.48	2983105
GCF_000525525.1	0.46	98.51	3002680
GCF_000525505.1	0.47	98.49	2911035
GCF_000525485.1	0.47	98.49	2974471
GCF_000525465.1	0.47	95.65	2958581
GCF_000525425.1	0.47	98.6	2936348
GCF_000525445.1	0.47	98.35	2955217
GCF_000525405.1	0.47	98.49	2916489
GCF_000525385.1	0.47	98.49	2948161
GCF_000525365.1	0.5	98.47	2929713
GCF_000525345.1	0.47	98.49	2985887
GCF_000525325.1	0.47	98.31	2938627
GCF_000525305.1	0.39	95.96	2867037
GCF_000525285.1	0.47	98.46	2900147
GCF_000525265.1	0.47	98.44	2954049
GCF_000525105.1	0.39	98.81	2830882
GCF_000536635.1	0.39	97.99	2874627
GCF_000536475.1	0.39	97.89	2896348
GCF_000359765.1	0.39	97.87	2903760
GCF_000359665.1	0.39	97.87	2889536
GCF_000359785.1	0.39	97.4	2946333
GCF_000359805.1	0.39	97.99	2845606
GCF_000359865.1	0.39	97.87	2900844
GCF_000359825.1	0.58	97.4	2915189
GCF_000359845.1	0.58	97.4	2915328
GCF_000359885.1	0.39	97.1	2862860
GCF_000359905.1	0.39	97.99	2968142
GCF_000359925.1	0.39	97.82	2756892
GCF_000536455.1	0.58	98.5	2898915
GCF_000536595.1	0.39	97.92	2903942
GCF_000536575.1	0.39	97.96	2895398
GCF_000350425.2	0.33	98.21	2700176
GCF_000336515.1	1.17	97.54	2846051
GCF_000336595.1	0.34	98.84	2763469
GCF_000536715.1	0.58	98.67	2928789
GCF_000439835.1	0.62	98.41	2792125
GCA_000978715.1	3.02	92.75	2775578
GCA_000978745.1	2.87	94.01	2773958
GCF_000364525.1	0.34	98.87	2860791
GCF_000364465.1	0.39	98.44	2757664
GCF_000359945.1	0.39	97.69	2882253
GCF_000531375.1	0.39	98.43	2935907
GCF_000359965.1	0.39	98.87	2941847
GCF_000531465.1	0.39	98.28	2953124
GCF_000533215.1	0.74	98.2	2929568
GCF_000531495.1	0.39	98.33	2874891
GCF_000359985.1	0.39	98.82	2891893
GCF_000531555.1	1.07	98.28	2921232
GCF_000360005.1	0.42	97.4	2893032
GCF_000533235.1	2.29	97.64	2914321
GCF_000360025.1	0.39	98.28	2954419
GCF_000531615.1	0.51	98.37	2959897
GCF_000533255.1	0.75	97.77	2897985
GCF_000360045.1	0.51	97.84	2960379
GCF_000533275.1	0.62	98.45	2834833
GCF_000531665.1	0.45	98.37	2966166
GCF_000360065.1	0.39	98.28	2922670
GCF_000533295.1	0.43	98.33	2886812
GCF_000360085.1	0.39	98.84	2917552
GCF_000533315.1	0.39	98.28	2914712
GCF_000533335.1	0.33	98.55	2836044
GCF_000533355.1	0.39	98.28	2935547
GCF_000364005.1	0.39	98.8	2871499
GCF_000360105.1	0.39	98.08	2937865
GCF_000531735.1	0.33	98.55	2884288
GCF_000531775.1	0.39	98.13	2945181
GCF_000360125.1	0.42	98.87	2834946
GCF_000360145.1	0.39	98.08	2931245
GCF_000360165.1	0.39	97.69	2935513
GCF_000531835.1	0.86	98.28	2949738
GCF_000360185.1	0.39	98.75	2855322
GCF_000531855.1	0.39	98.37	2969190
GCF_000533375.1	0.39	98.72	2808203
GCF_000530965.1	0.39	98.28	2870581
GCF_000533395.1	0.33	98.55	2868029
GCF_000530995.1	0.39	98.28	2905752
GCF_000533415.1	0.39	98.28	2899963
GCF_000531015.1	0.45	98.78	2738036
GCF_000360205.1	0.39	97.69	2927732
GCF_000360225.1	0.39	98.28	2983845
GCF_000531035.1	0.42	98.87	2877052
GCF_000360245.1	0.33	98.55	2858079
GCF_000533435.1	0.93	98.55	2890966
GCF_000531065.1	0.56	98.51	2877281
GCF_000360265.1	0.39	98.28	2941800
GCF_000360285.1	0.39	98.54	2882188
GCF_000531115.1	0.62	98.23	2915608
GCF_000360305.1	0.33	98.55	2860798
GCF_000533455.1	0.46	98.57	2877478
GCF_000531155.1	0.39	98.52	2887774
GCF_000360325.1	0.33	98.55	2838711
GCF_000531215.1	0.47	98.55	2907812
GCF_000360345.1	0.39	98.28	3000001
GCF_000360365.1	0.39	98.28	2932026
GCF_000360385.1	0.39	98.8	2876719
GCF_000360405.1	0.43	98.55	2891952
GCF_000360425.1	0.33	98.55	2866462
GCF_000360445.1	0.39	98.07	2883951
GCF_000360465.1	0.51	97.54	2925585
GCF_000531265.1	0.86	98.28	2932610
GCF_000360485.1	0.33	98.55	2854696
GCF_000360505.1	0.42	98.87	2902309
GCF_000531325.1	0.98	98.78	2911915
GCF_000360525.1	0.39	98.72	2747294
GCF_000360545.1	0.98	97.93	2861639
GCF_000530515.1	0.39	98.8	2838688
GCF_000533475.1	0.86	98.87	2908182
GCF_000360565.1	0.48	98.15	2895690
GCF_000360585.1	0.39	98.28	2800006
GCF_000530545.1	0.42	98.55	2834236
GCF_000533495.1	1.93	98.11	2870808
GCF_000533515.1	0.49	98.51	2818506
GCF_000530615.1	0.77	98.15	2871060
GCF_000533535.1	0.39	98.82	2755116
GCF_000360605.1	0.39	98.28	2935183
GCF_000360625.1	0.33	98.55	2891684
GCF_000533555.1	0.33	98.55	2857553
GCF_000360645.1	0.39	97.25	2880819
GCF_000360665.1	0.39	98.25	2934334
GCF_000530635.1	0.39	97.84	2958462
GCF_000360685.1	0.39	98.28	2933811
GCF_000533575.1	0.39	98.28	2932878
GCF_000364025.1	0.39	97.15	2914242
GCF_000533595.1	0.39	98.28	2853374
GCF_000530665.1	0.39	98.28	2908792
GCF_000533615.1	0.33	98.55	2864358
GCF_000360705.1	0.39	98.57	2899129
GCF_000530705.1	0.39	98.21	2935603
GCF_000360725.1	0.51	98.41	2986100
GCF_000533635.1	0.39	98.55	2839012
GCF_000533655.1	0.4	98.21	2876489
GCF_000360745.1	0.39	98.28	2929542
GCF_000360765.1	0.39	98.87	2915024
GCF_000360785.1	0.49	98.87	2937020
GCF_000360805.1	0.39	98.65	2855248
GCF_000530775.1	0.39	98.87	2879505
GCF_000360825.1	0.39	98.28	2971222
GCF_000360845.1	0.39	98.43	2933541
GCF_000530815.1	0.42	98.55	2894802
GCF_000360865.1	0.39	98.75	2883127
GCF_000360885.1	0.39	98.28	2963134
GCF_000360905.1	0.33	98.46	2887530
GCF_000530865.1	0.39	98.43	2925790
GCF_000533675.1	0.35	97.91	2882497
GCF_000533695.1	0.33	98.09	2857178
GCF_000360925.1	0.39	97.58	2879577
GCF_000360945.1	0.33	98.55	2865129
GCF_000530925.1	0.64	98.87	2875127
GCF_000533715.1	1.27	98.21	2891739
GCF_000360965.1	0.33	98.55	2909870
GCF_000533735.1	0.39	98.23	2899016
GCF_000529935.1	0.78	98.23	2910313
GCF_000360985.1	0.39	98.87	2884620
GCF_000361005.1	0.39	98.28	2934666
GCF_000529995.1	0.64	98.87	2871756
GCF_000533755.1	0.98	98.87	2878648
GCF_000361025.1	0.39	98.87	2901295
GCF_000533775.1	0.42	98.18	2850900
GCF_000530035.1	0.78	98.28	2922793
GCF_000361045.1	0.39	98.69	2775577
GCF_000533795.1	0.39	98.87	2866206
GCF_000361065.1	0.33	98.49	2932648
GCA_000555645.1	13.79	98.87	3165229
GCF_000530075.1	0.39	98.65	2811791
GCF_000361085.1	0.55	97.85	2932837
GCF_000533815.1	1.07	98.87	2899670
GCF_000361105.1	0.39	98.13	2899314
GCF_000530155.1	0.39	98.03	2836407
GCF_000361125.1	0.39	98.44	2960173
GCF_000361145.1	0.33	98.21	2838730
GCF_000533835.1	0.39	98.77	2858575
GCF_000530185.1	0.98	98.28	2909815
GCF_000533855.1	0.41	98.57	2879151
GCF_000361165.1	0.33	98.5	2841556
GCF_000530275.1	0.39	98.28	2768245
GCF_000533875.1	1.02	98.08	2915758
GCF_000361185.1	0.39	98.79	2905147
GCF_000361205.1	0.39	98.21	2757657
GCF_000530315.1	0.39	98.87	2894005
GCF_000533895.1	0.4	97.89	2852565
GCF_000361225.1	0.39	98.87	2887208
GCF_000361245.1	0.33	98.21	2849046
GCF_000361265.1	0.51	98.44	2997178
GCF_000530395.1	0.39	98.18	2823143
GCF_000361285.1	0.39	96.46	2879857
GCF_000533915.1	1.23	98.87	2861492
GCF_000361305.1	0.39	98.87	2977782
GCF_000530445.1	0.56	98.87	2873042
GCF_000361325.1	0.39	98.87	2876988
GCF_000361345.1	0.39	98.79	2808051
GCF_000533935.1	0.38	98.39	2856810
GCF_000529475.1	0.56	98.82	2837458
GCF_000533955.1	0.51	98.87	2869612
GCF_000533975.1	0.81	97.65	2899923
GCF_000361365.1	0.72	98.55	2979486
GCF_000529515.1	0.56	97.54	2963227
GCF_000361385.1	0.68	97.38	2932850
GCF_000529575.1	0.51	97.54	2946303
GCF_000361405.1	0.59	98.77	2959338
GCF_000361425.1	0.39	98.28	2931279
GCF_000361445.1	0.39	98.87	2871328
GCF_000533995.1	0.45	98.62	2934377
GCF_000361465.1	0.34	98.05	2874599
GCF_000529635.1	0.39	98.23	2913390
GCF_000361485.1	0.68	97.69	2912232
GCF_000361505.1	0.39	98.28	2910185
GCF_000529695.1	1.52	98.77	2952065
GCF_000534015.1	0.63	98.87	2894712
GCF_000529735.1	0.39	98.87	2912414
GCA_000361525.1			2884050
GCF_000361545.1	0.33	98.49	2887809
GCF_000529795.1	0.39	98.28	2906238
GCF_000361565.1	0.39	98.67	2908695
GCF_000361585.1	0.33	98.36	2863691
GCF_000361605.1	0.39	98.84	2892851
GCF_000361625.1	1.09	98.09	2953584
GCF_000529835.1	0.68	97.38	2938241
GCF_000361645.1	0.39	98.09	2917390
GCF_000529875.1	0.74	98.09	2958140
GCF_000529915.1	0.6	98.8	2890257
GCF_000361665.1	0.33	97.85	2874180
GCF_000529135.1	1.22	98.28	2886843
GCF_000527555.1	0.33	98.55	2843850
GCF_000527715.1	0.39	98.82	2854554
GCF_000361685.1	0.33	98.52	2828436
GCF_000527735.1	0.39	97.54	2881723
GCF_000527755.1	1.04	97.69	2888079
GCF_000527795.1	0.39	98.84	2847551
GCF_000361705.1	0.51	97.54	2978683
GCF_000527815.1	0.39	98.09	2892084
GCF_000529155.1	0.39	96.3	2894293
GCF_000527835.1	0.42	98.39	2907778
GCF_000527855.1	1.1	98.28	2920188
GCF_000527875.1	0.44	97.69	2883566
GCF_000527895.1	0.44	98.75	2836515
GCF_000527575.1	1.07	98.28	2885606
GCF_000527915.1	0.86	97.69	2866539
GCF_000527595.1	0.85	97.69	2880465
GCF_000527935.1	0.51	97.54	2904015
GCF_000361725.1	0.68	97.49	2885185
GCF_000527955.1	0.39	98.28	2897398
GCF_000361745.1	1.27	97.69	2910106
GCF_000527975.1	0.83	98.75	2841231
GCF_000529175.1	0.74	98.28	2924114
GCF_000527615.1	1.04	98.87	2901720
GCF_000527995.1	0.39	98.09	2899175
GCF_000528015.1	1.38	97.63	2897884
GCF_000528035.1	0.51	98.75	2840380
GCF_000527635.1	0.39	98.72	2828844
GCF_000528055.1	1.72	97.63	2901737
GCF_000528075.1	2.3	98.22	2920534
GCF_000528095.1	0.57	97.54	2913767
GCF_000528115.1	0.5	98.57	2849138
GCF_000361765.1	0.68	97.62	2928501
GCF_000527655.1	0.33	98.26	2857720
GCF_000527355.1	0.54	98.68	2833786
GCF_000361785.1	0.34	96.7	2866925
GCF_000528135.1	0.76	98.87	2889035
GCF_000528155.1	0.57	98.67	2896994
GCF_000527675.1	0.45	98.87	2890760
GCF_000528175.1	0.44	97.54	2886254
GCF_000528195.1	0.39	98.75	2819031
GCF_000528215.1	0.39	98.75	2809907
GCF_000528235.1	0.45	98.39	2907914
GCF_000528255.1	0.9	97.69	2888676
GCF_000361805.1	0.33	98.48	2866841
GCF_000528275.1	0.65	97.54	2888950
GCF_000529195.1	0.98	97.69	2883132
GCF_000361825.1	0.39	98.8	2877074
GCF_000528295.1	0.39	98.84	2862300
GCF_000528315.1	0.39	98.55	2859443
GCF_000528335.1	0.73	98.24	2928917
GCF_000528355.1	0.57	98.37	2905333
GCF_000528375.1	0.4	98.62	3017175
GCF_000528395.1	0.44	98.48	2854851
GCF_000528415.1	0.39	98.09	2889001
GCF_000528435.1	0.72	97.69	2731332
GCF_000528455.1	0.68	97.97	2892480
GCF_000528475.1	0.33	98.48	2831992
GCF_000361845.1	0.45	98.77	2953423
GCF_000529255.1	0.64	98.87	2885540
GCF_000528495.1	0.33	98.53	2861723
GCF_000528515.1	0.62	97.69	2774107
GCF_000527535.1	0.35	98.55	2824039
GCF_000361865.1	0.98	98.67	2932175
GCF_000528535.1	1.47	97.69	2881664
GCF_000361885.1	0.39	98.74	2872227
GCF_000527515.1	1.65	98.68	2888895
GCF_000528555.1	0.49	98.37	2908639
GCF_000528575.1	0.92	97.99	2889636
GCF_000528595.1	0.98	98.87	2853142
GCF_000528615.1	0.33	98.55	2824496
GCF_000528635.1	0.98	97.69	2877425
GCF_000529315.1	0.39	98.75	2880794
GCF_000528655.1	0.38	97.85	2884586
GCF_000527495.1	0.39	98.28	2868047
GCF_000528675.1	1.12	98.75	2934988
GCF_000528695.1	1.39	98.18	2896314
GCF_000528715.1	0.86	98.09	2893517
GCF_000528735.1	0.42	98.39	2877109
GCF_000527475.1	2.92	97.88	2886685
GCF_000528755.1	1.02	98.67	2920779
GCF_000528775.1	0.39	98.28	2897393
GCF_000529375.1	0.42	98.83	2936117
GCF_000528795.1	0.62	97.68	2803472
GCF_000528815.1	0.57	98.87	2868786
GCF_000528835.1	1.47	98.87	2892841
GCF_000361905.1	0.68	98.28	2975033
GCF_000528855.1	0.68	98.84	2865592
GCF_000528875.1	0.45	98.85	2860734
GCF_000528895.1	0.98	98.28	2907870
GCF_000527455.1	0.42	98.8	2873736
GCF_000528915.1	1.07	97.69	2882126
GCF_000527435.1	1.13	98.87	2898479
GCF_000529415.1	0.39	97.62	2892832
GCF_000528935.1	0.98	98.84	2890908
GCF_000527415.1	0.65	98.77	2904348
GCF_000528955.1	0.39	98.43	2909882
GCF_000528975.1	0.42	98.39	2884493
GCF_000528995.1	1.02	97.65	2890298
GCF_000527395.1	1	98.57	2814397
GCF_000529015.1	0.88	97.69	2893259
GCF_000529035.1	0.54	98.51	2877051
GCF_000529455.1	0.47	98.84	2897738
GCF_000529055.1	0.63	97.5	2885723
GCF_000529075.1	0.39	97.67	2880219
GCF_000529095.1	0.6	98.21	2838226
GCF_000527375.1	0.74	98.75	2951265
GCF_000529115.1	0.98	98.28	2884101
GCF_000534955.1	0.39	97.69	2884125
GCF_000531875.1	0.62	97.69	2831224
GCF_000535815.1	0.39	98.64	2816158
GCF_000535835.1	0.4	97.87	2830810
GCF_000361925.1	0.33	97.87	2867212
GCF_000361945.1	0.89	98.27	2918468
GCF_000531895.1	0.5	98.55	2828529
GCF_000361965.1	0.39	98.64	2866092
GCF_000531915.1	0.86	97.5	2893572
GCF_000361985.1	0.42	98.62	2940683
GCF_000362005.1	0.98	98.28	2954332
GCF_000531935.1	0.33	97.87	2874600
GCF_000536435.1	0.67	98.64	2880556
GCF_000531955.1	0.49	98.72	2938160
GCF_000362025.1	0.39	98.46	2879692
GCF_000362045.1	0.39	98.87	2975605
GCF_000531975.1	0.33	98.55	2859239
GCF_000362065.1	0.39	98.4	2957781
GCF_000534975.1	0.45	98.74	2944594
GCF_000362085.1	0.39	98.78	2884086
GCF_000534995.1	0.33	97.87	2856533
GCF_000535015.1	1.58	98.21	2858448
GCF_000531995.1	0.39	98.57	2908838
GCF_000535035.1	2.51	97.54	2910988
GCF_000535055.1	0.33	98.21	2834940
GCF_000532015.1	0.39	98.28	2983169
GCF_000532035.1	0.7	98.65	2885735
GCF_000535075.1	0.33	97.87	2873253
GCF_000535095.1	0.39	98.45	2850552
GCF_000362105.1	1.09	98.8	2883015
GCF_000535115.1	0.97	98.55	2862182
GCF_000532055.1	0.48	98.09	2925342
GCF_000362125.1	0.62	98.28	2812564
GCF_000535135.1	0.33	97.87	2858892
GCF_000532075.1	0.33	97.87	2855288
GCF_000535155.1	0.39	98.87	2878743
GCF_000535175.1	1.21	98.24	2889808
GCF_000362165.1	0.33	98.55	2896450
GCF_000532095.1	0.62	97.69	2833922
GCF_000362185.1	0.33	96.18	2898131
GCF_000535195.1	0.45	98.77	2943530
GCF_000535215.1	0.92	98.75	2863379
GCF_000532115.1	0.39	98.87	2903446
GCF_000532135.1	0.33	98.21	2836014
GCF_000535235.1	0.33	97.87	2861957
GCF_000535255.1	0.33	98.55	2856263
GCF_000362205.1	1.09	98.75	2873002
GCF_000362225.1	0.39	98.09	2935560
GCF_000532155.1	0.86	97.64	2920328
GCF_000535275.1	0.86	98.09	2892271
GCF_000362245.1	0.39	98.57	2868599
GCF_000362265.1	0.92	98.75	2892801
GCF_000362285.1	0.68	97.22	2977830
GCF_000535295.1	0.33	98.55	2874792
GCF_000532175.1	0.33	98.55	2886177
GCF_000362305.1	0.33	98.42	2846571
GCF_000535315.1	0.33	97.57	2887769
GCF_000532195.1	0.42	98.85	2993057
GCF_000362325.1	0.98	98.87	2880620
GCF_000532215.1	0.39	98.57	2877906
GCF_000532235.1	0.68	98.8	2933731
GCF_000362345.1	0.39	98.75	2849632
GCF_000535335.1	0.39	98.87	2886164
GCF_000535355.1	0.39	98.8	2826051
GCF_000532255.1	0.39	97.62	2929891
GCF_000535375.1	0.51	98.87	2816488
GCF_000535395.1	0.47	98.87	2905099
GCF_000362365.1	0.68	98.51	2898143
GCF_000535415.1	0.33	98.55	2880468
GCF_000362385.1	0.33	98.21	2867247
GCF_000362405.1	0.39	98.87	2870301
GCF_000367745.1	0.62	98.47	2891564
GCF_000532275.1	0.45	98.55	2887526
GCF_000362425.1	0.39	97.69	2947192
GCF_000535435.1	0.38	98.21	2817939
GCF_000362445.1	0.33	98.55	2882800
GCF_000362465.1	0.42	98.87	2942753
GCF_000362485.1	0.33	98.75	2873348
GCF_000535455.1	1.14	97.4	2876864
GCF_000532295.1	0.52	97.62	2916922
GCF_000535475.1	0.35	97.87	2884965
GCF_000535495.1	1.05	98.75	2932302
GCF_000535515.1	0.39	98.28	2932099
GCF_000362505.1	0.54	96.56	2841662
GCF_000362525.1	1.37	98.81	2890996
GCF_000362545.1	0.33	98.39	2873202
GCF_000535535.1	0.33	98.44	2867479
GCF_000532315.1	0.97	98.49	2913725
GCF_000362565.1	0.42	98.12	2862180
GCF_000535555.1	0.88	98.23	2912536
GCF_000535575.1	0.96	97.63	2929703
GCF_000532335.1	0.39	98.75	2931745
GCF_000535595.1	0.39	97.62	2870282
GCF_000535615.1	0.42	97.95	2836323
GCF_000364045.1	0.33	98.55	2907360
GCF_000362585.1	0.39	98.23	2931319
GCF_000362605.1	0.33	98.21	2852217
GCF_000362625.1	0.39	98.83	2969409
GCF_000362645.1	0.51	97.54	2980462
GCF_000535635.1	0.68	97.85	2851167
GCF_000362665.1	0.39	98.87	2878549
GCF_000535655.1	0.39	98.81	2866600
GCF_000532355.1	0.39	98.87	2858693
GCF_000535675.1	0.43	98.49	2849911
GCF_000535695.1	0.71	98.72	2787979
GCF_000362685.1	1.09	98.87	2912755
GCF_000364065.1	0.39	98.8	2882239
GCF_000362705.1	0.53	97.14	2866195
GCF_000532375.1	1.07	97.97	2876738
GCF_000362725.1	1.27	98.37	2891708
GCF_000362745.1	0.68	97.03	2790532
GCF_000362765.1	0.33	98.48	2981262
GCF_000535715.1	0.54	98.44	2907029
GCF_000532395.1	0.39	98.87	2918358
GCF_000535735.1	1.86	97.84	2909886
GCF_000535755.1	0.45	98.21	2831142
GCF_000362785.1	0.39	97.62	2926942
