centroid_90,classification
ERR10897580.sbin.2_00478,Mixed
ERR10897580.sbin.2_00481,Mixed
ERR10897580.sbin.2_00482,Mixed
ERR10897580.sbin.2_00484,Mixed
ERR10897580.sbin.2_00486,Mixed
ERR10897580.sbin.2_00489,Mixed
ERR10897580.sbin.2_00492,Mixed
ERR10897580.sbin.2_00493,Mixed
ERR10897580.sbin.2_00496,Mixed
ERR10897580.sbin.2_00497,Mixed
ERR10897580.sbin.2_00503,Mixed
ERR10897580.sbin.2_00505,Mixed
ERR10897580.sbin.2_00508,Mixed
ERR10897580.sbin.2_00514,VMGC
ERR10897580.sbin.2_00517,Mixed
ERR10897580.sbin.2_00518,Mixed
ERR10897580.sbin.2_00521,Mixed
ERR10897580.sbin.2_00522,VMGC
ERR10897580.sbin.2_00524,Mixed
ERR10897580.sbin.2_00526,Mixed
ERR10897580.sbin.2_00527,Mixed
ERR10897580.sbin.2_00529,Mixed
ERR10897580.sbin.2_00530,Mixed
ERR10897580.sbin.2_00531,VMGC
ERR10897580.sbin.2_00532,Mixed
ERR10897580.sbin.2_00533,Mixed
ERR10897580.sbin.2_00536,Mixed
ERR10897580.sbin.2_00537,Mixed
ERR10897580.sbin.2_00542,Mixed
ERR10897580.sbin.2_00543,Mixed
ERR10897580.sbin.2_00545,Mixed
ERR10897580.sbin.2_00547,Mixed
ERR10897580.sbin.2_00548,Mixed
ERR10897580.sbin.2_00554,Mixed
ERR10897580.sbin.2_00556,Mixed
ERR10897580.sbin.2_00557,Mixed
ERR10897580.sbin.2_00558,VMGC
ERR10897580.sbin.2_00560,Mixed
ERR10897580.sbin.2_00567,Mixed
ERR10897580.sbin.2_00569,Mixed
ERR10897580.sbin.2_00570,Mixed
ERR10897580.sbin.2_00571,Mixed
ERR10897580.sbin.2_00572,Mixed
ERR10897580.sbin.2_00573,Mixed
ERR10897580.sbin.2_00576,Mixed
ERR10897580.sbin.2_00577,Mixed
ERR10897580.sbin.2_00581,Mixed
ERR10897580.sbin.2_00583,Mixed
ERR10897580.sbin.2_00585,Mixed
ERR10897580.sbin.2_00586,Mixed
ERR10897580.sbin.2_00587,Mixed
ERR10897580.sbin.2_00590,Mixed
ERR10897580.sbin.2_00594,Mixed
ERR10897580.sbin.2_00595,Mixed
ERR10897580.sbin.2_00598,Mixed
ERR10897580.sbin.2_00602,Mixed
ERR10897580.sbin.2_00603,Mixed
ERR10897580.sbin.2_00607,Mixed
ERR10897580.sbin.2_00609,Mixed
ERR10897580.sbin.2_00611,Mixed
ERR10897580.sbin.2_00617,Mixed
ERR10897580.sbin.2_00619,Mixed
ERR10897580.sbin.2_00620,Mixed
ERR10897580.sbin.2_00621,Mixed
ERR10897580.sbin.2_00625,Mixed
ERR10897580.sbin.2_00626,Mixed
ERR10897580.sbin.2_00627,Mixed
ERR10897580.sbin.2_00629,Mixed
ERR10897580.sbin.2_00630,Mixed
ERR10897580.sbin.2_00631,Mixed
ERR10897580.sbin.2_00632,Mixed
ERR10897580.sbin.2_00633,Mixed
ERR10897580.sbin.2_00634,Mixed
ERR10897580.sbin.2_00635,VMGC
ERR10897580.sbin.2_00636,VMGC
ERR10897580.sbin.2_00640,Mixed
ERR10897580.sbin.2_00641,Mixed
ERR10897580.sbin.2_00645,Mixed
ERR10897580.sbin.2_00647,Mixed
ERR10897580.sbin.2_00648,Mixed
ERR10897580.sbin.2_00650,Mixed
ERR10897580.sbin.2_00653,Mixed
ERR10897580.sbin.2_00654,Mixed
ERR10897580.sbin.2_00657,Mixed
ERR10897580.sbin.2_00658,Mixed
ERR10897580.sbin.2_00660,Mixed
ERR10897580.sbin.2_00665,Mixed
ERR10897580.sbin.2_00668,Mixed
ERR10897580.sbin.2_00681,Mixed
ERR10897580.sbin.2_00683,Mixed
ERR10897580.sbin.2_00684,Mixed
ERR10897580.sbin.2_00685,Mixed
ERR10897580.sbin.2_00687,Mixed
ERR10897580.sbin.2_00688,Mixed
ERR10897580.sbin.2_00689,VMGC
ERR10897580.sbin.2_00692,Mixed
ERR10897580.sbin.2_00693,Mixed
ERR10897580.sbin.2_00694,Mixed
ERR10897580.sbin.2_00695,Mixed
ERR10897580.sbin.2_00696,Mixed
ERR10897580.sbin.2_00697,Mixed
ERR10897580.sbin.2_00698,Mixed
ERR10897580.sbin.2_00699,Mixed
ERR10897580.sbin.2_00702,Mixed
ERR10897580.sbin.2_00705,Mixed
ERR10897580.sbin.2_00707,Mixed
ERR10897580.sbin.2_00709,Mixed
ERR10897580.sbin.2_00719,Mixed
ERR10897580.sbin.2_00720,Mixed
ERR10897580.sbin.2_00721,Mixed
ERR10897580.sbin.2_00724,Mixed
ERR10897580.sbin.2_00725,Mixed
ERR10897580.sbin.2_00727,Mixed
ERR10897580.sbin.2_00730,Mixed
ERR10897580.sbin.2_00731,Mixed
ERR10897580.sbin.2_00732,Mixed
ERR10897580.sbin.2_00734,Mixed
ERR10897580.sbin.2_00741,Mixed
ERR10897580.sbin.2_00742,Mixed
ERR10897580.sbin.2_00744,Mixed
ERR10897580.sbin.2_00746,Mixed
ERR10897580.sbin.2_00747,Mixed
ERR10897580.sbin.2_00749,Mixed
ERR10897580.sbin.2_00750,Mixed
ERR10897580.sbin.2_00751,Mixed
ERR10897580.sbin.2_00752,Mixed
ERR10897580.sbin.2_00753,Mixed
ERR10897580.sbin.2_00758,Mixed
ERR10897580.sbin.2_00760,Mixed
ERR10897580.sbin.2_00763,Mixed
ERR10897580.sbin.2_00765,Mixed
ERR10897580.sbin.2_00768,Mixed
ERR10897580.sbin.2_00771,Mixed
ERR10897580.sbin.2_00772,Mixed
ERR10897580.sbin.2_00773,Mixed
ERR10897580.sbin.2_00774,Mixed
ERR10897580.sbin.2_00776,Mixed
ERR10897580.sbin.2_00782,Mixed
ERR10897580.sbin.2_00783,Mixed
ERR10897580.sbin.2_00792,Mixed
ERR10897580.sbin.2_00793,Mixed
ERR10897580.sbin.2_00794,Mixed
ERR10897580.sbin.2_00795,Mixed
ERR10897580.sbin.2_00799,Mixed
ERR10897580.sbin.2_00801,Mixed
ERR10897580.sbin.2_00804,Mixed
ERR10897580.sbin.2_00808,VMGC
ERR10897580.sbin.2_00811,Mixed
ERR10897580.sbin.2_00812,Mixed
ERR10897580.sbin.2_00813,Mixed
ERR10897580.sbin.2_00814,VMGC
ERR10897580.sbin.2_00820,Mixed
ERR10897580.sbin.2_00821,Mixed
ERR10897580.sbin.2_00822,Mixed
ERR10897580.sbin.2_00823,Mixed
ERR10897580.sbin.2_00827,Mixed
ERR10897580.sbin.2_00828,Mixed
ERR10897580.sbin.2_00829,Mixed
ERR10897580.sbin.2_00830,Mixed
ERR10897580.sbin.2_00831,Mixed
ERR10897580.sbin.2_00832,Mixed
ERR10897580.sbin.2_00833,Mixed
ERR10897580.sbin.2_00834,Mixed
ERR10897580.sbin.2_00835,Mixed
ERR10897580.sbin.2_00837,Mixed
ERR10897580.sbin.2_00841,VMGC
ERR10897580.sbin.2_00843,Mixed
ERR10897580.sbin.2_00844,Mixed
ERR10897580.sbin.2_00845,Mixed
ERR10897580.sbin.2_00846,Mixed
ERR10897580.sbin.2_00849,Mixed
ERR10897580.sbin.2_00852,Mixed
ERR10897580.sbin.2_00858,Mixed
ERR10897580.sbin.2_00859,Mixed
ERR10897580.sbin.2_00860,Mixed
ERR10897580.sbin.2_00863,VMGC
ERR10897580.sbin.2_00864,Mixed
ERR10897580.sbin.2_00865,Mixed
ERR10897580.sbin.2_00866,Mixed
ERR10897580.sbin.2_00872,Mixed
ERR10897580.sbin.2_00874,Mixed
ERR10897580.sbin.2_00875,Mixed
ERR10897580.sbin.2_00876,Mixed
ERR10897580.sbin.2_00877,Mixed
ERR10897580.sbin.2_00883,Mixed
ERR10897580.sbin.2_00884,Mixed
ERR10897580.sbin.2_00885,Mixed
ERR10897580.sbin.2_00886,Mixed
ERR10897580.sbin.2_00887,Mixed
ERR10897580.sbin.2_00888,Mixed
ERR10897580.sbin.2_00894,Mixed
ERR10897580.sbin.2_00895,Mixed
ERR10897580.sbin.2_00896,Mixed
ERR10897580.sbin.2_00897,Mixed
ERR10897580.sbin.2_00898,Mixed
ERR10897580.sbin.2_00900,Mixed
ERR10897580.sbin.2_00901,Mixed
ERR10897580.sbin.2_00903,Mixed
ERR10897580.sbin.2_00905,Mixed
ERR10897580.sbin.2_00906,Mixed
ERR10897580.sbin.2_00908,VMGC
ERR10897580.sbin.2_00909,Mixed
ERR10897580.sbin.2_00910,Mixed
ERR10897580.sbin.2_00911,Mixed
ERR10897580.sbin.2_00912,Mixed
ERR10897580.sbin.2_00914,Mixed
ERR10897580.sbin.2_00915,Mixed
ERR10897580.sbin.2_00917,Mixed
ERR10897580.sbin.2_00918,Mixed
ERR10897580.sbin.2_00924,Mixed
ERR10897580.sbin.2_00926,Mixed
ERR10897580.sbin.2_00927,Mixed
ERR10897580.sbin.2_00929,Mixed
ERR10897580.sbin.2_00930,Mixed
ERR10897580.sbin.2_00931,Mixed
ERR10897580.sbin.2_00932,Mixed
ERR10897580.sbin.2_00935,VMGC
ERR10897580.sbin.2_00936,VMGC
ERR10897580.sbin.2_00937,VMGC
ERR10897580.sbin.2_00938,Mixed
ERR10897580.sbin.2_00939,Mixed
ERR10897580.sbin.2_00940,Mixed
ERR10897580.sbin.2_00941,Mixed
ERR10897580.sbin.2_00944,Mixed
ERR10897580.sbin.2_00946,Mixed
ERR10897580.sbin.2_00947,Mixed
ERR10897580.sbin.2_00948,Mixed
ERR10897580.sbin.2_00949,Mixed
ERR10897580.sbin.2_00954,Mixed
ERR10897580.sbin.2_00958,Mixed
ERR10897580.sbin.2_00959,Mixed
ERR10897580.sbin.2_00960,Mixed
ERR10897580.sbin.2_00961,Mixed
ERR10897580.sbin.2_00962,VMGC
ERR10897580.sbin.2_00967,VMGC
ERR10897580.sbin.2_00971,Mixed
ERR10897580.sbin.2_00974,Mixed
ERR10897580.sbin.2_00975,Mixed
ERR10897580.sbin.2_00976,Mixed
ERR10897580.sbin.2_00977,Mixed
ERR10897580.sbin.2_00978,Mixed
ERR10897580.sbin.2_00979,Mixed
ERR10897580.sbin.2_00980,Mixed
ERR10897580.sbin.2_00981,Mixed
ERR10897580.sbin.2_00982,Mixed
ERR10897580.sbin.2_00983,Mixed
ERR10897580.sbin.2_00985,Mixed
ERR10897580.sbin.2_00987,Mixed
ERR10897580.sbin.2_00988,Mixed
ERR10897580.sbin.2_00990,Mixed
ERR10897580.sbin.2_00991,Mixed
ERR10897580.sbin.2_00995,Mixed
ERR10897580.sbin.2_00997,Mixed
ERR10897580.sbin.2_01000,Mixed
ERR10897580.sbin.2_01002,Mixed
ERR10897580.sbin.2_01003,Mixed
ERR10897580.sbin.2_01008,Mixed
ERR10897580.sbin.2_01016,Mixed
ERR10897580.sbin.2_01017,Mixed
ERR10897580.sbin.2_01022,Mixed
ERR10897580.sbin.2_01026,Mixed
ERR10897580.sbin.2_01033,Mixed
ERR10897580.sbin.2_01034,Mixed
ERR10897580.sbin.2_01038,Mixed
ERR10897580.sbin.2_01039,Mixed
ERR10897580.sbin.2_01040,Mixed
ERR10897580.sbin.2_01046,Mixed
ERR10897580.sbin.2_01047,VMGC
ERR10897580.sbin.2_01052,Mixed
ERR10897580.sbin.2_01056,Mixed
ERR10897580.sbin.2_01057,Mixed
ERR10897580.sbin.2_01059,Mixed
ERR10897580.sbin.2_01060,Mixed
ERR10897580.sbin.2_01061,Mixed
ERR10897580.sbin.2_01062,Mixed
ERR10897580.sbin.2_01063,Mixed
ERR10897580.sbin.2_01071,Mixed
ERR10897580.sbin.2_01076,Mixed
ERR10897580.sbin.2_01080,Mixed
ERR10897580.sbin.2_01081,Mixed
ERR10897580.sbin.2_01086,Mixed
ERR10897580.sbin.2_01087,Mixed
ERR10897580.sbin.2_01089,Mixed
ERR10897580.sbin.2_01091,Mixed
ERR10897580.sbin.2_01092,Mixed
ERR10897580.sbin.2_01093,Mixed
ERR10897580.sbin.2_01094,Mixed
ERR10897580.sbin.2_01096,Mixed
ERR10897580.sbin.2_01099,Mixed
ERR10897580.sbin.2_01103,Mixed
ERR10897580.sbin.2_01104,Mixed
ERR10897580.sbin.2_01105,Mixed
ERR10897580.sbin.2_01107,Mixed
ERR10897580.sbin.2_01108,Mixed
ERR10897580.sbin.2_01109,Mixed
ERR10897580.sbin.2_01112,Mixed
ERR10897580.sbin.2_01113,Mixed
ERR10897580.sbin.2_01114,Mixed
ERR10897580.sbin.2_01115,Mixed
ERR10897580.sbin.2_01116,Mixed
ERR10897580.sbin.2_01117,Mixed
ERR10897580.sbin.2_01121,Mixed
ERR10897580.sbin.2_01123,Mixed
ERR10897580.sbin.2_01125,Mixed
ERR10897580.sbin.2_01127,Mixed
ERR10897580.sbin.2_01129,Mixed
ERR10897580.sbin.2_01132,Mixed
ERR10897580.sbin.2_01133,Mixed
ERR10897580.sbin.2_01134,Mixed
ERR10897580.sbin.2_01136,Mixed
ERR10897580.sbin.2_01137,Mixed
ERR10897580.sbin.2_01139,Mixed
ERR10897580.sbin.2_01140,Mixed
ERR10897580.sbin.2_01147,Mixed
ERR10897580.sbin.2_01148,Mixed
ERR10897580.sbin.2_01149,Mixed
ERR10897580.sbin.2_01150,Mixed
ERR10897591.sbin.5_00021,Mixed
ERR10897591.sbin.5_00027,Mixed
ERR10897591.sbin.5_00031,VMGC
ERR10897591.sbin.5_00045,Mixed
ERR10897591.sbin.5_00050,Mixed
ERR10897591.sbin.5_00052,Mixed
ERR10897591.sbin.5_00054,Mixed
ERR10897591.sbin.5_00058,Mixed
ERR10897591.sbin.5_00070,Mixed
ERR10897591.sbin.5_00073,Mixed
ERR10897591.sbin.5_00075,Mixed
ERR10897591.sbin.5_00081,Mixed
ERR10897591.sbin.5_00088,VMGC
ERR10897591.sbin.5_00089,VMGC
ERR10897591.sbin.5_00090,VMGC
ERR10897591.sbin.5_00091,VMGC
ERR10897591.sbin.5_00130,VMGC
ERR10897591.sbin.5_00131,Mixed
ERR10897591.sbin.5_00134,Mixed
ERR10897591.sbin.5_00141,VMGC
ERR10897591.sbin.5_00142,VMGC
ERR10897591.sbin.5_00143,VMGC
ERR10897591.sbin.5_00144,VMGC
ERR10897591.sbin.5_00145,VMGC
ERR10897591.sbin.5_00146,VMGC
ERR10897591.sbin.5_00149,VMGC
ERR10897591.sbin.5_00150,VMGC
ERR10897591.sbin.5_00151,VMGC
ERR10897591.sbin.5_00179,Mixed
ERR10897591.sbin.5_00181,Mixed
ERR10897591.sbin.5_00184,Mixed
ERR10897591.sbin.5_00196,Mixed
ERR10897591.sbin.5_00197,Mixed
ERR10897591.sbin.5_00201,Mixed
ERR10897591.sbin.5_00245,Mixed
ERR10897591.sbin.5_00263,Mixed
ERR10897591.sbin.5_00273,VMGC
ERR10897591.sbin.5_00294,Mixed
ERR10897591.sbin.5_00299,Mixed
ERR10897591.sbin.5_00306,Mixed
ERR10897591.sbin.5_00317,Mixed
ERR10897591.sbin.5_00320,Mixed
ERR10897591.sbin.5_00327,Mixed
ERR10897591.sbin.5_00338,Mixed
ERR10897591.sbin.5_00355,Mixed
ERR10897591.sbin.5_00360,VMGC
ERR10897591.sbin.5_00373,VMGC
ERR10897591.sbin.5_00374,VMGC
ERR10897591.sbin.5_00375,VMGC
ERR10897591.sbin.5_00376,VMGC
ERR10897591.sbin.5_00377,VMGC
ERR10897591.sbin.5_00378,VMGC
ERR10897591.sbin.5_00379,VMGC
ERR10897591.sbin.5_00381,VMGC
ERR10897591.sbin.5_00394,VMGC
ERR10897591.sbin.5_00401,Mixed
ERR10897591.sbin.5_00406,Mixed
ERR10897591.sbin.5_00412,Mixed
ERR10897591.sbin.5_00445,Mixed
ERR10897591.sbin.5_00446,VMGC
ERR10897591.sbin.5_00449,VMGC
ERR10897591.sbin.5_00455,Mixed
ERR10897591.sbin.5_00481,Mixed
ERR10897591.sbin.5_00493,Mixed
ERR10897591.sbin.5_00508,Mixed
ERR10897591.sbin.5_00522,VMGC
ERR10897591.sbin.5_00523,VMGC
ERR10897591.sbin.5_00524,VMGC
ERR10897591.sbin.5_00525,VMGC
ERR10897591.sbin.5_00527,Mixed
ERR10897591.sbin.5_00535,Mixed
ERR10897591.sbin.5_00544,Mixed
ERR10897591.sbin.5_00547,Mixed
ERR10897591.sbin.5_00549,Mixed
ERR10897591.sbin.5_00561,Mixed
ERR10897591.sbin.5_00566,Mixed
ERR10897591.sbin.5_00572,Mixed
ERR10897591.sbin.5_00604,Mixed
ERR10897591.sbin.5_00605,Mixed
ERR10897591.sbin.5_00614,Mixed
ERR10897591.sbin.5_00628,Mixed
ERR10897591.sbin.5_00644,Mixed
ERR10897591.sbin.5_00646,Mixed
ERR10897591.sbin.5_00650,Mixed
ERR10897591.sbin.5_00667,Mixed
ERR10897591.sbin.5_00677,Mixed
ERR10897591.sbin.5_00681,Mixed
ERR10897591.sbin.5_00690,Mixed
ERR10897591.sbin.5_00709,Mixed
ERR10897591.sbin.5_00712,Mixed
ERR10897591.sbin.5_00718,Mixed
ERR10897591.sbin.5_00722,Mixed
ERR10897591.sbin.5_00728,Mixed
ERR10897591.sbin.5_00729,Mixed
ERR10897591.sbin.5_00732,Mixed
ERR10897591.sbin.5_00738,Mixed
ERR10897591.sbin.5_00741,VMGC
ERR10897591.sbin.5_00742,VMGC
ERR10897591.sbin.5_00751,Mixed
ERR10897591.sbin.5_00761,Mixed
ERR10897591.sbin.5_00769,Mixed
ERR10897591.sbin.5_00788,Mixed
ERR10897591.sbin.5_00800,Mixed
ERR10897591.sbin.5_00810,Mixed
ERR10897591.sbin.5_00811,Mixed
ERR10897591.sbin.5_00812,Mixed
ERR10897591.sbin.5_00814,Mixed
ERR10897591.sbin.5_00815,Mixed
ERR10897591.sbin.5_00851,Mixed
ERR10897591.sbin.5_00874,VMGC
ERR10897591.sbin.5_00875,VMGC
ERR10897591.sbin.5_00876,VMGC
ERR10897591.sbin.5_00877,VMGC
ERR10897591.sbin.5_00878,VMGC
ERR10897591.sbin.5_00879,VMGC
ERR10897591.sbin.5_00880,VMGC
ERR10897591.sbin.5_00881,VMGC
ERR10897591.sbin.5_00912,Mixed
ERR10897591.sbin.5_00920,Mixed
ERR10897591.sbin.5_00926,Mixed
ERR10897591.sbin.5_00930,Mixed
ERR10897591.sbin.5_00936,Mixed
ERR10897591.sbin.5_00940,Mixed
ERR10897596.sbin.4_00008,Mixed
ERR10897596.sbin.4_00009,Mixed
ERR10897596.sbin.4_00011,Mixed
ERR10897596.sbin.4_00017,Mixed
ERR10897596.sbin.4_00021,VMGC
ERR10897596.sbin.4_00042,Mixed
ERR10897596.sbin.4_00047,Mixed
ERR10897596.sbin.4_00055,Mixed
ERR10897596.sbin.4_00086,Mixed
ERR10897596.sbin.4_00092,Mixed
ERR10897596.sbin.4_00093,Mixed
ERR10897596.sbin.4_00105,Mixed
ERR10897596.sbin.4_00127,Mixed
ERR10897596.sbin.4_00130,Mixed
ERR10897596.sbin.4_00132,Mixed
